dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
beemo,llada_8b_base,score,logreg,0.8067929371309421,0.7482803530565544,0.7504216921580141,0.7567317638945488,0.7443201239717201
beemo,llada_8b_base,score,random_forest,0.7417663451604699,0.658209349460608,0.6577783793969054,0.657062996980241,0.6586757397313644
beemo,llada_8b_base,score,xgboost,0.7907684818480782,0.7382205949656752,0.7467152554324202,0.7718253346290085,0.723536733208719
beemo,llada_8b_base,score,xgboost_calibrated,0.7948008726750482,0.744622164105917,0.7565191987004054,0.7937744898279051,0.7230864826760703
beemo,llada_8b_base,pawn,logreg,0.6603398012601485,0.6057142857142858,0.5917159763313609,0.5720823798627003,0.6127450980392157
beemo,llada_8b_base,pawn,deep_mlp,0.6839075055118439,0.6354285714285715,0.6329113924050632,0.6292906178489702,0.6365740740740741
beemo,llada_8b_base,embedding,logreg,0.8547903409506494,0.768,0.768,0.7688787185354691,0.7671232876712328
beemo,llada_8b_base,zero_shot,prompt,0.3411060159495075,0.4849108367626886,0.6498834498834499,0.9561042524005487,0.4922316384180791
beemo,gpt2,score,logreg,0.6970687393834821,0.6369414841451455,0.6250685171548025,0.6058326280262897,0.6458417532363708
beemo,gpt2,score,random_forest,0.6266409193430734,0.5722494932984635,0.5722878826846299,0.5724878008003927,0.5721512686277882
beemo,gpt2,score,xgboost,0.6763508521823487,0.6346581235697941,0.6694015801732285,0.7407071878624494,0.6110708600353145
beemo,gpt2,score,xgboost_calibrated,0.6752354412826238,0.6406043805165086,0.6938490026186986,0.8152607546262918,0.6041510507122586
beemo,gpt2,pawn,logreg,0.7390207203535939,0.6834285714285714,0.6767794632438738,0.6636155606407322,0.6904761904761905
beemo,gpt2,pawn,deep_mlp,0.7675360229041931,0.6811428571428572,0.6752037252619325,0.6636155606407322,0.6872037914691943
beemo,gpt2,embedding,logreg,0.7121877057145544,0.6582857142857143,0.6659217877094973,0.6819221967963387,0.6506550218340611
beemo,gpt2,zero_shot,prompt,0.4874554905122739,0.5002286236854138,0.6666666666666667,0.9995427526291724,0.5001143902997026
beemo,llama2_7b,score,logreg,0.7121819025780345,0.6504337365152011,0.6363507304839932,0.6126808981954589,0.6623257802993381
beemo,llama2_7b,score,random_forest,0.6469269475016517,0.5827582870219026,0.5799711147278845,0.5761188259511195,0.5842324839849322
beemo,llama2_7b,score,xgboost,0.6992385194556071,0.6483747629944426,0.6745145631488316,0.7288434009383197,0.6279501410209252
beemo,llama2_7b,score,xgboost_calibrated,0.6999327558268023,0.641057338999673,0.6919777249717007,0.8065755514456182,0.6062449802272152
beemo,llama2_7b,pawn,logreg,0.774056194685642,0.704,0.6956521739130435,0.6773455377574371,0.714975845410628
beemo,llama2_7b,pawn,deep_mlp,0.8004816985883412,0.7371428571428571,0.7594142259414225,0.8306636155606407,0.6994219653179191
beemo,llama2_7b,embedding,logreg,0.6672674837779379,0.6445714285714286,0.7029608404966571,0.8421052631578947,0.6032786885245902
beemo,llama2_7b,zero_shot,prompt,0.45452103076561856,0.48788294467306814,0.6474661630468996,0.9405578417924096,0.49364050875929927
beemo,llama3_1_8b,score,logreg,0.7067450714167169,0.6456316443282119,0.6366282494181466,0.6213744605707241,0.6528255208876745
