dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
deepfaketextdetect,llada_8b_base,score,logreg,0.5418672000000001,0.5362,0.5464296593424269,0.5588,0.5346377112763526
deepfaketextdetect,llada_8b_base,score,random_forest,0.5363735999999999,0.5205,0.517932883158233,0.5151999999999999,0.520747852516395
deepfaketextdetect,llada_8b_base,score,xgboost,0.5862984,0.5576000000000001,0.5824980695493048,0.6178,0.551539129530751
deepfaketextdetect,llada_8b_base,score,xgboost_calibrated,0.5882696000000001,0.5614000000000001,0.6224206354901491,0.7237999999999999,0.5463193518351622
deepfaketextdetect,llada_8b_base,pawn,logreg,0.8655390000000001,0.7855,0.7843137254901962,0.78,0.788675429726997
deepfaketextdetect,llada_8b_base,pawn,deep_mlp,0.8821950000000001,0.795,0.7864583333333334,0.755,0.8206521739130435
deepfaketextdetect,llada_8b_base,embedding,logreg,0.9964040000000001,0.979,0.9788732394366196,0.973,0.9848178137651822
deepfaketextdetect,llada_8b_base,zero_shot,prompt,0.43480107999999995,0.4789,0.6210457421278452,0.854,0.4879442349445778
deepfaketextdetect,gpt2,score,logreg,0.9099547999999998,0.8689,0.8661183584880024,0.8482,0.8848441443156435
deepfaketextdetect,gpt2,score,random_forest,0.8783061999999999,0.7954,0.7948929505600051,0.7928000000000001,0.7970763623239888
deepfaketextdetect,gpt2,score,xgboost,0.9097672999999998,0.8682000000000001,0.8679281704838763,0.8662000000000001,0.8697837127010422
deepfaketextdetect,gpt2,score,xgboost_calibrated,0.9093948999999999,0.8689,0.868582494621197,0.8666,0.8706982494918314
deepfaketextdetect,gpt2,pawn,logreg,0.960488,0.9195,0.919940328194928,0.925,0.9149357072205737
deepfaketextdetect,gpt2,pawn,deep_mlp,0.979628,0.933,0.9363722697056029,0.986,0.891500904159132
deepfaketextdetect,gpt2,embedding,logreg,0.897276,0.8245,0.8259791769955379,0.833,0.8190757128810227
deepfaketextdetect,gpt2,zero_shot,prompt,0.53393526,0.501,0.6668002136752138,0.9986,0.5005012028869287
deepfaketextdetect,llama2_7b,score,logreg,0.7316134,0.7026,0.6923179908023179,0.6692,0.7171077469493847
deepfaketextdetect,llama2_7b,score,random_forest,0.6750515,0.6058,0.6026232154545907,0.5978,0.6075720492658132
deepfaketextdetect,llama2_7b,score,xgboost,0.7423349,0.7013999999999999,0.6755215185900614,0.6216000000000002,0.7398354803092888
deepfaketextdetect,llama2_7b,score,xgboost_calibrated,0.7420378999999999,0.7051999999999999,0.6723959605819255,0.605,0.7568107216745877
deepfaketextdetect,llama2_7b,pawn,logreg,0.885618,0.8285,0.8249106687085247,0.808,0.8425443169968717
deepfaketextdetect,llama2_7b,pawn,deep_mlp,0.923416,0.8155,0.8338586222422332,0.926,0.7583947583947583
deepfaketextdetect,llama2_7b,embedding,logreg,0.8576005000000001,0.737,0.682367149758454,0.565,0.8612804878048781
deepfaketextdetect,llama2_7b,zero_shot,prompt,0.47727654,0.507,0.6619119462350843,0.9652,0.5036526821122939
deepfaketextdetect,llama3_1_8b,score,logreg,0.7526774999999999,0.7151000000000001,0.707077586907712,0.6878,0.7274961048215792
deepfaketextdetect,llama3_1_8b,score,random_forest,0.691578,0.6197999999999999,0.6202818302378328,0.6212,0.619437840311365
deepfaketextdetect,llama3_1_8b,score,xgboost,0.7652642000000001,0.7116,0.6921709853487847,0.6487999999999999,0.742234874860594
deepfaketextdetect,llama3_1_8b,score,xgboost_calibrated,0.7634979000000001,0.713,0.6830944857282211,0.619,0.762635117155385
deepfaketextdetect,llama3_1_8b,pawn,logreg,0.901004,0.8305,0.8290468986384266,0.822,0.8362156663275687
deepfaketextdetect,llama3_1_8b,pawn,deep_mlp,0.955971,0.8595,0.8737078651685394,0.972,0.793469387755102
deepfaketextdetect,llama3_1_8b,embedding,logreg,0.979997,0.9205,0.919493670886076,0.908,0.9312820512820513
deepfaketextdetect,llama3_1_8b,zero_shot,prompt,0.34245398,0.4629,0.618564022441588,0.871,0.4795727342803656
deepfaketextdetect,gpt3_proxy,score,logreg,0.9008662000000001,0.8465,0.84186158436277,0.8172,0.8681291994593134
deepfaketextdetect,gpt3_proxy,score,random_forest,0.8550787,0.7634999999999998,0.76329033210231,0.7628,0.764147849524155
deepfaketextdetect,gpt3_proxy,score,xgboost,0.8975183000000001,0.8463,0.8445751113366586,0.8352,0.8543745955640354
deepfaketextdetect,gpt3_proxy,score,xgboost_calibrated,0.8987962999999999,0.8472,0.8455302062913077,0.8363999999999999,0.8550373441083238
deepfaketextdetect,gpt3_proxy,pawn,logreg,0.954277,0.9,0.9,0.9,0.9
deepfaketextdetect,gpt3_proxy,pawn,deep_mlp,0.981653,0.913,0.9188432835820896,0.985,0.861013986013986
deepfaketextdetect,gpt3_proxy,embedding,logreg,0.9123869999999998,0.8415,0.8406234288587229,0.836,0.8452982810920121
deepfaketextdetect,gpt3_proxy,zero_shot,prompt,0.38329676,0.4865,0.6512733446519524,0.959,0.4930591259640103
deepfaketextdetect,bert,score,logreg,0.6425626,0.5062,0.33210548003534235,0.24580000000000002,0.512766824329912
deepfaketextdetect,bert,score,random_forest,0.6232045000000002,0.5697,0.5694722289045311,0.5692,0.5699983140408893
deepfaketextdetect,bert,score,xgboost,0.6967067000000001,0.6382,0.6590013505461474,0.7,0.6234853721163145
deepfaketextdetect,bert,score,xgboost_calibrated,0.6974699,0.6428,0.6729329657807986,0.735,0.6211250857950217
deepfaketextdetect,bert,pawn,logreg,0.7498100000000001,0.69,0.6804123711340208,0.66,0.7021276595744681
deepfaketextdetect,bert,pawn,deep_mlp,0.823443,0.691,0.7446280991735538,0.901,0.6345070422535212
deepfaketextdetect,bert,embedding,logreg,0.9572860000000001,0.8845,0.8838612368024134,0.879,0.8887765419615774
deepfaketextdetect,bert,zero_shot,prompt,0.49313328,0.4717,0.13803230543318648,0.0846,0.3746678476527901
deepfaketextdetect,roberta,score,logreg,0.8965419999999998,0.8168,0.7979365795614314,0.724,0.8889575163819536
deepfaketextdetect,roberta,score,random_forest,0.8455229,0.75,0.750433707667588,0.752,0.7491192022675074
deepfaketextdetect,roberta,score,xgboost,0.8919730000000001,0.8279,0.8240377119571036,0.806,0.8429765985267712
