dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
mage,llada_8b_base,score,logreg,0.5317959,0.5071999999999999,0.5084083174632518,0.5096,0.5072762792821752
mage,llada_8b_base,score,random_forest,0.5906659999999999,0.55,0.5455527590997071,0.5402,0.5511374766799093
mage,llada_8b_base,score,xgboost,0.6567822999999999,0.6284000000000001,0.6627175002713561,0.7302,0.6067540524516198
mage,llada_8b_base,score,xgboost_calibrated,0.6529216999999999,0.6289,0.6756748986765488,0.7734000000000001,0.600296721202613
mage,llada_8b_base,pawn,logreg,0.5934379999999999,0.567,0.5639476334340384,0.56,0.5679513184584178
mage,llada_8b_base,pawn,deep_mlp,0.654466,0.6,0.6254681647940075,0.668,0.5880281690140845
mage,llada_8b_base,embedding,logreg,0.9472189999999999,0.883,0.8832335329341316,0.885,0.8814741035856574
mage,llada_8b_base,zero_shot,prompt,0.48086673999999996,0.5186,0.65326995102276,0.907,0.5104682575416479
mage,llada_8b_vrpo,score,logreg,0.5074956,0.4909,0.496181436240558,0.5014,0.4911632376790861
mage,llada_8b_vrpo,score,random_forest,0.5690715,0.5361,0.5361922837702542,0.5366000000000001,0.5359263170420244
mage,llada_8b_vrpo,score,xgboost,0.6307762,0.5972999999999999,0.6218249404630058,0.6626,0.5861426108863645
mage,llada_8b_vrpo,score,xgboost_calibrated,0.6278564,0.5945,0.6288547928515096,0.6890000000000001,0.5794132729157014
mage,llada_8b_vrpo,pawn,logreg,0.59298,0.5675,0.5732609768130241,0.581,0.5657254138266796
mage,llada_8b_vrpo,pawn,deep_mlp,0.709556,0.6415,0.6654223051796547,0.713,0.6237970253718286
mage,llada_8b_vrpo,embedding,logreg,0.9505739999999999,0.882,0.8808080808080808,0.872,0.889795918367347
mage,llada_8b_vrpo,zero_shot,prompt,0.52731498,0.5,0.6666666666666666,1.0,0.5
mage,dream_llada_7b,score,logreg,0.6262486,0.5868,0.5832261828782601,0.5786,0.5882297031278363
mage,dream_llada_7b,score,random_forest,0.5644904,0.5338999999999999,0.5360658387377079,0.5386,0.5336688494754569
mage,dream_llada_7b,score,xgboost,0.6137506,0.5837,0.6313832353148061,0.7135999999999999,0.566443350862947
mage,dream_llada_7b,score,xgboost_calibrated,0.6151757,0.5899,0.6614344427378869,0.8022000000000002,0.5632442370590651
mage,dream_llada_7b,pawn,logreg,0.610339,0.584,0.5972894482090997,0.617,0.5787992495309568
mage,dream_llada_7b,pawn,deep_mlp,0.7426845000000001,0.665,0.6940639269406392,0.76,0.6386554621848739
mage,dream_llada_7b,embedding,logreg,0.9404069999999999,0.8645,0.8629236216489631,0.853,0.8730808597748209
mage,dream_llada_7b,zero_shot,prompt,0.4395817000000001,0.4893,0.6424420639921585,0.9176,0.49423677690401807
raid,llada_8b_base,score,logreg,0.6246022,0.6204000000000001,0.6440932418995902,0.687,0.6062523923073446
raid,llada_8b_base,score,random_forest,0.6204491,0.5762,0.5790620504870295,0.5831999999999999,0.5752664833575649
raid,llada_8b_base,score,xgboost,0.6657398000000001,0.6188,0.6596502379559258,0.7392,0.5957486072946467
raid,llada_8b_base,score,xgboost_calibrated,0.6702349,0.6326,0.6998806275657556,0.8568,0.5916119450989779
raid,llada_8b_base,pawn,logreg,0.683215,0.629,0.5971769815418024,0.55,0.6532066508313539
raid,llada_8b_base,pawn,deep_mlp,0.7646439999999999,0.6865,0.7207126948775056,0.809,0.6497991967871486
raid,llada_8b_base,embedding,logreg,0.9623380000000001,0.892,0.8925373134328358,0.897,0.8881188118811881
raid,llada_8b_base,zero_shot,prompt,0.43489884,0.4993,0.6473198563076706,0.919,0.49961944112210505
raid,llada_8b_vrpo,score,logreg,0.5943943,0.5977,0.6629778548035752,0.7914000000000001,0.5704293587913033
raid,llada_8b_vrpo,score,random_forest,0.5696527,0.5379,0.5367834120806904,0.5357999999999999,0.538103657982497
raid,llada_8b_vrpo,score,xgboost,0.6262921,0.5909,0.6356199376806727,0.7144,0.5728501574884103
raid,llada_8b_vrpo,score,xgboost_calibrated,0.6226563,0.591,0.6647675811396154,0.8112,0.5631799928783148
raid,llada_8b_vrpo,pawn,logreg,0.6654500000000001,0.638,0.6457925636007827,0.66,0.632183908045977
raid,llada_8b_vrpo,pawn,deep_mlp,0.822826,0.7355,0.7708964919878736,0.89,0.6799083269671505
raid,llada_8b_vrpo,embedding,logreg,0.9536549999999999,0.884,0.8860510805500982,0.902,0.8706563706563707
raid,llada_8b_vrpo,zero_shot,prompt,0.48994374,0.5,0.6666666666666666,1.0,0.5
raid,dream_llada_7b,score,logreg,0.626646,0.6069000000000001,0.6227696297489693,0.649,0.5986673157429891
raid,dream_llada_7b,score,random_forest,0.5807913,0.5433000000000001,0.5436951535476584,0.5444000000000001,0.5431999852117395
raid,dream_llada_7b,score,xgboost,0.6509992,0.6089,0.631756720886637,0.6714,0.5972184442881034
raid,dream_llada_7b,score,xgboost_calibrated,0.6466673999999999,0.6062000000000001,0.653499761330957,0.743,0.5838959848448976
raid,dream_llada_7b,pawn,logreg,0.691324,0.647,0.6669811320754716,0.707,0.63125
raid,dream_llada_7b,pawn,deep_mlp,0.8168030000000001,0.7095,0.7606098063452823,0.923,0.6468114926419061
raid,dream_llada_7b,embedding,logreg,0.953649,0.893,0.8943731490621917,0.906,0.8830409356725146
raid,dream_llada_7b,zero_shot,prompt,0.30865004000000007,0.4369,0.5914532394979323,0.8152,0.46407833314357283
deepfaketextdetect,llada_8b_base,score,logreg,0.5421688,0.5361,0.5469981266808965,0.5602,0.5344365819087289
deepfaketextdetect,llada_8b_base,score,random_forest,0.5423336,0.5209999999999999,0.5202448975034815,0.5194000000000001,0.5211674727573633
deepfaketextdetect,llada_8b_base,score,xgboost,0.5852923,0.5599000000000001,0.5813896278932139,0.6113999999999999,0.5543001665808281
deepfaketextdetect,llada_8b_base,score,xgboost_calibrated,0.5862155999999998,0.5591,0.6135386274211052,0.7006,0.5460271551608974
deepfaketextdetect,llada_8b_base,pawn,logreg,0.86462,0.7865,0.7846696923852748,0.778,0.7914547304170906
deepfaketextdetect,llada_8b_base,pawn,deep_mlp,0.878834,0.795,0.7851153039832285,0.749,0.8248898678414097
deepfaketextdetect,llada_8b_base,embedding,logreg,0.9964470000000001,0.979,0.9788732394366196,0.973,0.9848178137651822
deepfaketextdetect,llada_8b_base,zero_shot,prompt,0.4343005999999999,0.479,0.6210357870235671,0.8538,0.487997256515775
deepfaketextdetect,llada_8b_vrpo,score,logreg,0.5010243,0.5035000000000001,0.4919422228473829,0.4808,0.5045501323674122
deepfaketextdetect,llada_8b_vrpo,score,random_forest,0.5467535,0.5311,0.5340217867375898,0.5374000000000001,0.530719548335333
deepfaketextdetect,llada_8b_vrpo,score,xgboost,0.5610622,0.5402,0.5733446128391728,0.618,0.534883871133628
deepfaketextdetect,llada_8b_vrpo,score,xgboost_calibrated,0.5581739000000001,0.5464,0.6352683884198094,0.7902000000000001,0.5312367023620361
deepfaketextdetect,llada_8b_vrpo,pawn,logreg,0.821601,0.741,0.736788617886179,0.725,0.7489669421487604
deepfaketextdetect,llada_8b_vrpo,pawn,deep_mlp,0.872838,0.79,0.7874493927125505,0.778,0.7971311475409836
deepfaketextdetect,llada_8b_vrpo,embedding,logreg,0.995369,0.9675,0.9672544080604534,0.96,0.9746192893401016
deepfaketextdetect,llada_8b_vrpo,zero_shot,prompt,0.49978082,0.4999,0.6665777718514567,0.9998,0.49994999499949994
deepfaketextdetect,dream_llada_7b,score,logreg,0.8648544000000001,0.7888999999999999,0.7875688047961329,0.7828000000000002,0.792462989436664
deepfaketextdetect,dream_llada_7b,score,random_forest,0.8019604000000001,0.7036,0.7032288321127537,0.7021999999999999,0.7043889867396135
deepfaketextdetect,dream_llada_7b,score,xgboost,0.8623572999999999,0.7876,0.789728573592565,0.7981999999999999,0.7816480101756311
deepfaketextdetect,dream_llada_7b,score,xgboost_calibrated,0.8620162,0.7884,0.790184179834579,0.7972,0.7834278402208245
deepfaketextdetect,dream_llada_7b,pawn,logreg,0.719816,0.661,0.6596385542168675,0.657,0.6622983870967742
deepfaketextdetect,dream_llada_7b,pawn,deep_mlp,0.797152,0.7145,0.7410430839002268,0.817,0.6780082987551868
deepfaketextdetect,dream_llada_7b,embedding,logreg,0.9965629999999999,0.973,0.9728915662650601,0.969,0.9768145161290323
deepfaketextdetect,dream_llada_7b,zero_shot,prompt,0.48807539999999994,0.5172,0.6580252160362658,0.929,0.5094318929589823
