dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
m4gt_bench,llada_8b_base,score,logreg,0.7464723999999998,0.6768,0.6869541796299882,0.7096,0.6659273956225025
m4gt_bench,llada_8b_base,score,random_forest,0.6792709,0.6112,0.6091155513833778,0.6059999999999999,0.6123477840736358
m4gt_bench,llada_8b_base,score,xgboost,0.7365667,0.6759000000000001,0.7104226501609341,0.7958000000000001,0.6420125632983013
m4gt_bench,llada_8b_base,score,xgboost_calibrated,0.7347896,0.6765000000000001,0.7200445588423424,0.8328000000000001,0.6344810918030278
m4gt_bench,llada_8b_base,pawn,logreg,0.779369,0.72,0.7125256673511294,0.694,0.7320675105485233
m4gt_bench,llada_8b_base,pawn,deep_mlp,0.7957450000000001,0.7255,0.7333657115104419,0.755,0.7129367327667611
m4gt_bench,llada_8b_base,embedding,logreg,0.989392,0.9495,0.9499256321269212,0.958,0.9419862340216323
m4gt_bench,llada_8b_base,zero_shot,prompt,0.27663908,0.4356,0.5950057405281286,0.8292,0.46396598030438674
m4gt_bench,gpt2,score,logreg,0.8670114999999999,0.8029,0.803673773350838,0.807,0.8005100896603123
m4gt_bench,gpt2,score,random_forest,0.8184199,0.72,0.7200852089661651,0.7205999999999999,0.719811674376005
m4gt_bench,gpt2,score,xgboost,0.8668559,0.8058,0.816727925946686,0.8654,0.77366874349638
m4gt_bench,gpt2,score,xgboost_calibrated,0.8665234999999999,0.8061,0.8172853485379843,0.8672000000000001,0.7730298291879789
m4gt_bench,gpt2,pawn,logreg,0.916729,0.8785,0.8820960698689957,0.909,0.8567389255419415
m4gt_bench,gpt2,pawn,deep_mlp,0.9348960000000001,0.8835,0.8902496467263307,0.945,0.8414959928762245
m4gt_bench,gpt2,embedding,logreg,0.9252014999999999,0.8645,0.8655086848635235,0.872,0.8591133004926108
m4gt_bench,gpt2,zero_shot,prompt,0.48498784,0.4996,0.6663110162710055,0.9992,0.49979991996798717
m4gt_bench,llama2_7b,score,logreg,0.799123,0.7354,0.7373415664436036,0.743,0.7318959129153509
m4gt_bench,llama2_7b,score,random_forest,0.725019,0.6397,0.639740686578539,0.6397999999999999,0.6397467696803816
m4gt_bench,llama2_7b,score,xgboost,0.7945873999999999,0.7349,0.7479191747951975,0.7866000000000001,0.7129378169966716
m4gt_bench,llama2_7b,score,xgboost_calibrated,0.7941292,0.736,0.7502778727684964,0.7932,0.7118618678380562
m4gt_bench,llama2_7b,pawn,logreg,0.8886399999999999,0.8195,0.8213755566551211,0.83,0.8129285014691479
m4gt_bench,llama2_7b,pawn,deep_mlp,0.9251149999999999,0.856,0.8657968313140727,0.929,0.8106457242582897
m4gt_bench,llama2_7b,embedding,logreg,0.8463455,0.766,0.751592356687898,0.708,0.8009049773755657
m4gt_bench,llama2_7b,zero_shot,prompt,0.50485472,0.4623,0.6105034407823252,0.8428,0.4785917092561045
m4gt_bench,llama3_1_8b,score,logreg,0.8077764000000001,0.7426000000000001,0.7472160188061203,0.7609999999999999,0.7339884462141463
m4gt_bench,llama3_1_8b,score,random_forest,0.7318547,0.6514,0.6498508870896981,0.6472,0.6527945320621649
m4gt_bench,llama3_1_8b,score,xgboost,0.8029018000000001,0.7364,0.7533480897632453,0.8052000000000001,0.707793978455649
m4gt_bench,llama3_1_8b,score,xgboost_calibrated,0.8016947999999999,0.7399,0.7624720540568094,0.835,0.701582189834553
m4gt_bench,llama3_1_8b,pawn,logreg,0.8965850000000001,0.843,0.8457760314341848,0.861,0.831081081081081
m4gt_bench,llama3_1_8b,pawn,deep_mlp,0.9196519999999999,0.86,0.8706099815157117,0.942,0.8092783505154639
m4gt_bench,llama3_1_8b,embedding,logreg,0.975456,0.927,0.9270729270729271,0.928,0.9261477045908184
m4gt_bench,llama3_1_8b,zero_shot,prompt,0.55653128,0.5202,0.6651312116136237,0.953,0.510827615780446
m4gt_bench,gpt3_proxy,score,logreg,0.8645153999999998,0.7996000000000001,0.8001633740197128,0.8026,0.7978148408935486
m4gt_bench,gpt3_proxy,score,random_forest,0.8018306,0.7094,0.7087056600474397,0.707,0.7104674892149966
m4gt_bench,gpt3_proxy,score,xgboost,0.8607260999999999,0.8,0.8059526535043826,0.8308,0.7826432827949399
