dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
mage,llada_8b_base,score,logreg,0.5317959,0.5071999999999999,0.5084083174632518,0.5096,0.5072762792821752
mage,llada_8b_base,score,random_forest,0.5906659999999999,0.55,0.5455527590997071,0.5402,0.5511374766799093
mage,llada_8b_base,score,xgboost,0.6567822999999999,0.6284000000000001,0.6627175002713561,0.7302,0.6067540524516198
mage,llada_8b_base,score,xgboost_calibrated,0.6529216999999999,0.6289,0.6756748986765488,0.7734000000000001,0.600296721202613
mage,llada_8b_base,pawn,logreg,0.586114,0.558,0.5571142284569138,0.556,0.5582329317269076
mage,llada_8b_base,pawn,deep_mlp,0.656464,0.6035,0.6374028349336991,0.697,0.5871946082561078
mage,llada_8b_base,embedding,logreg,0.9472189999999999,0.883,0.8832335329341316,0.885,0.8814741035856574
mage,llada_8b_base,zero_shot,prompt,0.48086673999999996,0.5186,0.65326995102276,0.907,0.5104682575416479
mage,gpt2,score,logreg,0.6327734,0.5850000000000001,0.5876233604866418,0.5916,0.5837918238034978
mage,gpt2,score,random_forest,0.6067784,0.5557000000000001,0.5543412357888523,0.5526000000000002,0.5561523877957859
mage,gpt2,score,xgboost,0.6507622,0.6187,0.6809365584774468,0.8138,0.5853787157494462
mage,gpt2,score,xgboost_calibrated,0.6478697999999999,0.6237999999999999,0.7070815185705055,0.908,0.5789999542470824
mage,gpt2,pawn,logreg,0.6320969999999999,0.59,0.5936570862239842,0.599,0.5884086444007859
mage,gpt2,pawn,deep_mlp,0.783739,0.7065,0.7433318758198513,0.85,0.6604506604506605
mage,gpt2,embedding,logreg,0.8332979999999999,0.755,0.7535211267605634,0.749,0.7580971659919028
mage,gpt2,zero_shot,prompt,0.46460948,0.4995,0.6662220740246749,0.999,0.49974987493746875
mage,llama2_7b,score,logreg,0.5645797,0.5172000000000001,0.5114914590025017,0.5058,0.5174884382762405
mage,llama2_7b,score,random_forest,0.5863481,0.5427,0.5438555953207701,0.5452,0.5425791207328416
mage,llama2_7b,score,xgboost,0.661575,0.6129,0.6423199153608973,0.6951999999999999,0.5969965545010509
mage,llama2_7b,score,xgboost_calibrated,0.6602511,0.6154,0.6606258053664094,0.749,0.5912723623691206
mage,llama2_7b,pawn,logreg,0.586334,0.5445,0.5410579345088161,0.537,0.5451776649746193
mage,llama2_7b,pawn,deep_mlp,0.801617,0.7255,0.7550200803212851,0.846,0.6817082997582594
mage,llama2_7b,embedding,logreg,0.7226124999999999,0.6355,0.7094459944200877,0.89,0.5897945659377071
mage,llama2_7b,zero_shot,prompt,0.49377238,0.5031,0.6607959587685166,0.968,0.5016063840812519
mage,llama3_1_8b,score,logreg,0.5513943,0.5069,0.5063966624681561,0.506,0.5068495177116692
mage,llama3_1_8b,score,random_forest,0.6291928999999999,0.5741,0.5744182803886329,0.575,0.57394753569374
mage,llama3_1_8b,score,xgboost,0.6945895,0.6375,0.6575184504450763,0.6964,0.6229200076266009
mage,llama3_1_8b,score,xgboost_calibrated,0.6936905,0.6357,0.6698691004465288,0.7392000000000001,0.6125502678491227
mage,llama3_1_8b,pawn,logreg,0.6167149999999999,0.5835,0.5677218474312403,0.547,0.5900755124056095
mage,llama3_1_8b,pawn,deep_mlp,0.802236,0.7225,0.7545333923042902,0.853,0.6764472640761301
mage,llama3_1_8b,embedding,logreg,0.9158335,0.8445,0.8450423517688092,0.848,0.8421052631578947
mage,llama3_1_8b,zero_shot,prompt,0.45217812000000007,0.4797,0.6153618688548829,0.8324,0.4880966342207107
mage,gpt3_proxy,score,logreg,0.6145519,0.5604000000000001,0.5590173949970074,0.5574,0.5607188455857682
mage,gpt3_proxy,score,random_forest,0.6189530999999999,0.5695,0.5713788258905438,0.5742,0.5687269968553924
mage,gpt3_proxy,score,xgboost,0.6486846,0.6234,0.6854729325505724,0.8207999999999999,0.5884956527360261
mage,gpt3_proxy,score,xgboost_calibrated,0.6521663,0.6220000000000001,0.7053235294201549,0.9048,0.5779412773045041
mage,gpt3_proxy,pawn,logreg,0.613204,0.5655,0.571287617168229,0.579,0.563777994157741
mage,gpt3_proxy,pawn,deep_mlp,0.768023,0.689,0.7397489539748954,0.884,0.6359712230215827
mage,gpt3_proxy,embedding,logreg,0.816304,0.754,0.7515151515151515,0.744,0.7591836734693878
mage,gpt3_proxy,zero_shot,prompt,0.48695824000000004,0.5036,0.6610678683599617,0.9682,0.501866058469832
mage,bert,score,logreg,0.5197193999999999,0.5019,0.4105343136443973,0.347,0.5027805572184393
mage,bert,score,random_forest,0.5340617999999999,0.523,0.5229267755736426,0.5228000000000002,0.5231101735966451
mage,bert,score,xgboost,0.5455515,0.5257,0.543487202817073,0.5652,0.5238496847204145
mage,bert,score,xgboost_calibrated,0.5383726000000001,0.5234,0.6006616673603224,0.7222,0.5167848578340971
mage,bert,pawn,logreg,0.5566420000000001,0.5295,0.48097076668505234,0.436,0.5362853628536285
mage,bert,pawn,deep_mlp,0.6528560000000001,0.6045,0.6507726269315673,0.737,0.5826086956521739
mage,bert,embedding,logreg,0.844659,0.763,0.7655786350148368,0.774,0.7573385518590998
mage,bert,zero_shot,prompt,0.47397394,0.4819,0.12556962025316454,0.0744,0.40216216216216216
mage,roberta,score,logreg,0.5939996000000001,0.5782999999999999,0.5064179059985812,0.4328,0.6107371430290357
mage,roberta,score,random_forest,0.5213062,0.5041,0.5034039143068372,0.5028,0.5040504549059875
mage,roberta,score,xgboost,0.5781900999999999,0.5643,0.5440477882402099,0.5202,0.5705526707713497
mage,roberta,score,xgboost_calibrated,0.5745844,0.5640000000000001,0.5255295569182239,0.48319999999999996,0.5767273888666078
mage,roberta,pawn,logreg,0.6003149999999999,0.585,0.5229885057471264,0.455,0.6148648648648649
mage,roberta,pawn,deep_mlp,0.62889,0.595,0.6017699115044247,0.612,0.5918762088974855
mage,roberta,embedding,logreg,0.863597,0.7875,0.7858942065491185,0.78,0.7918781725888325
mage,roberta,zero_shot,prompt,0.45305482,0.4752,0.5530574007835123,0.6494,0.48160783150400477
mage,modernbert,score,logreg,0.5793285,0.5656,0.5034269743876221,0.4404,0.5877011154961788
mage,modernbert,score,random_forest,0.5366439000000001,0.5211,0.5211299760018502,0.5214000000000001,0.520940411521817
mage,modernbert,score,xgboost,0.5880137999999999,0.5704,0.5652165406052923,0.5584000000000001,0.572344115659361
mage,modernbert,score,xgboost_calibrated,0.5816410000000001,0.5578,0.5525239342546179,0.5468,0.5596199512201355
mage,modernbert,pawn,logreg,0.593,0.566,0.516164994425864,0.463,0.5831234256926953
mage,modernbert,pawn,deep_mlp,0.606128,0.5705,0.6086560364464692,0.668,0.5589958158995816
mage,modernbert,embedding,logreg,0.841898,0.7685,0.766750629722922,0.761,0.7725888324873097
mage,modernbert,zero_shot,prompt,0.50035868,0.4841,0.561570493753718,0.6608,0.48825181025565245
