dataset,model,strategy,classifier,roc_auc,accuracy,f1,recall,precision
raid,llada_8b_base,score,logreg,0.6246022,0.6204000000000001,0.6440932418995902,0.687,0.6062523923073446
raid,llada_8b_base,score,random_forest,0.6204491,0.5762,0.5790620504870295,0.5831999999999999,0.5752664833575649
raid,llada_8b_base,score,xgboost,0.6657398000000001,0.6188,0.6596502379559258,0.7392,0.5957486072946467
raid,llada_8b_base,score,xgboost_calibrated,0.6702349,0.6326,0.6998806275657556,0.8568,0.5916119450989779
raid,llada_8b_base,pawn,logreg,0.690746,0.636,0.6064864864864865,0.561,0.66
raid,llada_8b_base,pawn,deep_mlp,0.7745949999999999,0.688,0.7209302325581395,0.806,0.6521035598705501
raid,llada_8b_base,embedding,logreg,0.9623380000000001,0.892,0.8925373134328358,0.897,0.8881188118811881
raid,llada_8b_base,zero_shot,prompt,0.43489884,0.4993,0.6473198563076706,0.919,0.49961944112210505
raid,gpt2,score,logreg,0.6987284,0.6771,0.6889639427893091,0.7152000000000001,0.6646521739612063
raid,gpt2,score,random_forest,0.6591011,0.595,0.5961948442470482,0.5978,0.5949093525398623
raid,gpt2,score,xgboost,0.7326992999999999,0.6829,0.7057976193033518,0.7608,0.6585510363230141
raid,gpt2,score,xgboost_calibrated,0.7291440999999999,0.6829000000000001,0.7086240306635304,0.7714000000000001,0.6557526315550252
raid,gpt2,pawn,logreg,0.782656,0.6995,0.680489101541733,0.64,0.7264472190692395
raid,gpt2,pawn,deep_mlp,0.8943309999999999,0.8045,0.8270676691729324,0.935,0.7414750198255353
raid,gpt2,embedding,logreg,0.8724669999999999,0.795,0.7992164544564153,0.816,0.783109404990403
raid,gpt2,zero_shot,prompt,0.47892233999999995,0.5001,0.6666666666666666,0.9998,0.5000500150045013
raid,llama2_7b,score,logreg,0.6708494000000002,0.6420999999999999,0.6482314454024338,0.6596,0.6373583695476216
raid,llama2_7b,score,random_forest,0.613878,0.563,0.5642369010247537,0.5661999999999999,0.562446357365207
raid,llama2_7b,score,xgboost,0.6810321,0.6399,0.6730317973681704,0.7418,0.6162836578876945
