dataset,model,strategy,time_seconds,vram_peak_gb,cpu_ram_delta_gb,cached
raid,llada_8b_base,score,4227.465382575989,0.0,0.09900283813476562,False
raid,llada_8b_base,pawn,42484.15950155258,0.0,-0.14416885375976562,False
raid,llada_8b_base,embedding,4233.351023674011,0.0,0.15020751953125,False
raid,llada_8b_base,zero_shot,4297.926325559616,0.0,-0.0075225830078125,False
raid,gpt2,score,391.22074031829834,6.662623405456543,0.00678253173828125,False
raid,gpt2,pawn,405.1281797885895,3.471668243408203,0.0,False
raid,gpt2,embedding,390.6936445236206,3.0062146186828613,0.04969024658203125,False
raid,gpt2,zero_shot,390.7041757106781,3.006293773651123,-0.07526779174804688,False
raid,llama2_7b,score,1649.9614691734314,0.0,0.01226043701171875,False
raid,llama2_7b,pawn,1660.1050066947937,0.0,0.000171661376953125,False
raid,llama2_7b,embedding,1658.4344294071198,0.0,0.15244293212890625,False
raid,llama2_7b,zero_shot,1657.214229106903,0.0,-0.24414443969726562,False
raid,llama3_1_8b,score,1731.2686185836792,0.0,0.00012969970703125,False
raid,llama3_1_8b,pawn,1765.1086819171906,0.0,0.00016021728515625,False
raid,llama3_1_8b,embedding,1723.9433858394623,0.0,0.15259552001953125,False
raid,llama3_1_8b,zero_shot,1739.2954876422882,0.0,-0.24415206909179688,False
raid,gpt3_proxy,score,696.7856540679932,0.0,0.0014495849609375,False
raid,gpt3_proxy,pawn,709.848046541214,0.0,0.0005645751953125,False
raid,gpt3_proxy,embedding,696.4218518733978,0.0,0.09574127197265625,False
raid,gpt3_proxy,zero_shot,697.770539522171,0.0,0.0,False
raid,bert,score,79.57697987556458,5.662314414978027,0.0019378662109375,False
raid,bert,pawn,87.20113205909729,6.202879428863525,0.002277374267578125,False
raid,bert,embedding,78.40370965003967,5.662314414978027,0.0,False
raid,bert,zero_shot,71.00778388977051,5.662952423095703,0.0,False
raid,roberta,score,91.13374304771423,5.82789945602417,0.0008087158203125,False
raid,roberta,pawn,106.74221634864807,6.7963786125183105,0.000743865966796875,False
raid,roberta,embedding,90.86103177070618,5.82789945602417,0.00144195556640625,False
raid,roberta,zero_shot,86.00248908996582,5.827609062194824,0.0,False
raid,modernbert,score,157.62902879714966,5.990408420562744,0.008296966552734375,False
raid,modernbert,pawn,169.72636938095093,1.8782849311828613,0.0,False
raid,modernbert,embedding,156.90794444084167,0.9667706489562988,0.000728607177734375,False
raid,modernbert,zero_shot,163.21008467674255,0.9640045166015625,6.103515625e-05,False
